record_id,name,DOI,year,journal,cancer_type,stage,comparison_arms,discusses_irAE,irAE_subgroup_analysis,irAE_grading_reported,irAE_organs_reported,reports_OS,reports_PFS,study_design,sample_size,immunotherapy_agent,followup_median_months,irAE_incidence_any_grade,irAE_incidence_grade3plus,biomarker_reported,quality_score,eligibility_decision
1,Durable responses upon short-term addition of targeted therapy to anti-PD1 in advanced melanoma patients: 5-year progression-free and overall survival update of the IMPemBra trial,10.1016/j.ejca.2025.115431,2025,European Journal of Cancer,melanoma,advanced,"['pembrolizumab monotherapy', 'pembrolizumab plus intermittent dabrafenib + trametinib']",yes,no,yes,no,yes,yes,randomized trial,32,pembrolizumab,73,,12,,,yes
2,"Pembrolizumab versus placebo as adjuvant therapy in resected stage IIB or IIC melanoma: Long-term follow-up, crossover, and rechallenge with pembrolizumab in the phase III KEYNOTE-716 study",10.1016/j.ejca.2025.115381,2025,European Journal of Cancer,melanoma,IIB/IIC,"['pembrolizumab', 'placebo']",no,no,no,no,yes,yes,randomized trial,976,pembrolizumab,52.8,,,,,yes
3,A randomised phase III study of bevacizumab and carboplatin–pemetrexed chemotherapy with or without atezolizumab as first-line treatment for advanced pleural mesothelioma: results of the ETOP 13-18 BEAT-meso trial,10.1016/j.annonc.2024.12.014,2025,Annals of Oncology,pleural mesothelioma,advanced,"['bevacizumab + carboplatin–pemetrexed + atezolizumab', 'bevacizumab + carboplatin–pemetrexed']",yes,no,yes,no,yes,yes,randomized trial,400,atezolizumab,35,,55,,,yes
4,A phase II study of monalizumab and durvalumab in patients with recurrent/metastatic squamous cell carcinoma of the head and neck: results of the I2 cohort of the EORTC-HNCG-1559 trial (UPSTREAM),10.1016/j.esmoop.2025.104554,2025,ESMO Open,squamous cell carcinoma of the head and neck,recurrent/metastatic,"['monalizumab + durvalumab', ""physician's choice""]",yes,no,yes,no,yes,yes,randomized trial,66,durvalumab,,,4,,,yes
5,"Bevacizumab, tislelizumab and nab-paclitaxel for previously untreated metastatic triple-negative breast cancer: A phase II trial",10.1136/jitc-2024-011314,2025,Journal for ImmunoTherapy of Cancer,triple-negative breast cancer,metastatic,"['bevacizumab 7.5 mg/kg + tislelizumab + nab-paclitaxel', 'bevacizumab 15 mg/kg + tislelizumab + nab-paclitaxel']",yes,no,yes,no,yes,yes,randomized trial,30,tislelizumab,,,,yes,,yes
6,First-Line Pembrolizumab Plus Chemotherapy for HER2-Negative Advanced Gastric Cancer: China Subgroup Analysis of the Randomized Phase 3 KEYNOTE-859 Study,,2025,Advances in Therapy,gastric or gastroesophageal junction cancer,locally advanced or metastatic,"['pembrolizumab plus chemotherapy', 'placebo plus chemotherapy']",yes,no,yes,no,yes,yes,"randomized, phase 3",236,pembrolizumab,24.7,,65.6,,,yes
7,"A randomised non-comparative phase II study of atezolizumab, bevacizumab and chemotherapy in EGFR-mutant NSCLC with acquired resistance – The ETOP 15-19 ABC-lung trial",,2025,Lung Cancer,NSCLC,,"['atezolizumab and bevacizumab with carboplatin/paclitaxel', 'atezolizumab and bevacizumab with pemetrexed']",yes,no,yes,no,yes,yes,"randomized, phase II",95,atezolizumab,19,,50,,,yes
8,First-line pembrolizumab-axitinib versus sunitinib in metastatic RCC: subgroup analysis of patients enrolled in the phase 3 KEYNOTE-426 in Eastern Asia,,2025,Japanese Journal of Clinical Oncology,metastatic renal cell carcinoma,,"['pembrolizumab plus axitinib', 'sunitinib']",yes,no,yes,no,yes,yes,"randomized, phase 3",130,pembrolizumab,,,69.4,,,yes
9,Efficacy and safety of tislelizumab combined with platinum-based drugs in treatment of advanced non-small cell lung cancer,,2025,Cancer Research and Clinic,non-small cell lung cancer,advanced,"['platinum-based drugs combined with tislelizumab', 'platinum-based drugs']",yes,no,no,yes,no,no,prospective randomized controlled study,86,tislelizumab,,,,,,yes
10,Tebentafusp Induces a T-Cell–Driven Rash in Melanocyte-Bearing Skin as an Adverse Event Consistent with the Mechanism of Action,,2025,Journal of Investigative Dermatology,,,"['tebentafusp', ""investigator's choice""]",yes,no,no,yes,yes,no,randomized phase 3 trial,378,tebentafusp,,,,,,yes
