record_id,name,DOI,year,journal,cancer_type,stage,comparison_arms,discusses_irAE,irAE_subgroup_analysis,irAE_grading_reported,irAE_organs_reported,reports_OS,reports_PFS,study_design,sample_size,immunotherapy_agent,followup_median_months,irAE_incidence_any_grade,irAE_incidence_grade3plus,biomarker_reported,quality_score,eligibility_decision,treatment_line,combination_regimen,prior_immunotherapy,geographic_region,specific_irAE_incidence,irAE_management_summary,specific_biomarker_status,study_type,ECOG_status,PROs_related_irAE
1,Durable responses upon short-term addition of targeted therapy to anti-PD1 in advanced melanoma patients: 5-year progression-free and overall survival update of the IMPemBra trial,10.1016/j.ejca.2025.115431,2025,European Journal of Cancer,Melanoma,Advanced,"['Pembrolizumab monotherapy', 'Pembrolizumab + intermittent dabrafenib + trametinib']",yes,yes,yes,no,yes,yes,Randomized controlled trial,32,Pembrolizumab,73,,,BRAFV600E/K-mutated,,eligible,Treatment-naïve,Dabrafenib + Trametinib,no,,"{'grade3plus_cohort1': 12, 'grade3plus_cohort2': 12, 'grade3plus_cohort3': 38, 'grade3plus_cohort4': 63}",,BRAFV600E/K-mutated,,,
10,Tebentafusp Induces a T-Cell–Driven Rash in Melanocyte-Bearing Skin as an Adverse Event Consistent with the Mechanism of Action,10.1016/j.jid.2024.03.048,2025,Journal of Investigative Dermatology,,,"['tebentafusp', ""investigator's choice""]",yes,yes,no,yes,yes,no,randomized phase 3 trial,378,Tebentafusp,,,,yes,,eligible,,,,,,,"gp100, HLA-A*02:01",,,
23,Improving health related quality of life (HRQoL) assessment and immune related adverse event (irAE) classification with novel tools in renal cancer.,10.1200/JCO.2025.43.5_suppl.525,2025,Journal of Clinical Oncology,Renal Cell Carcinoma,Advanced,"['ipilimumab 12-weekly + nivolumab', 'ipilimumab 3-weekly + nivolumab']",yes,yes,yes,no,no,no,Randomized Phase 2,192,"Ipilimumab, Nivolumab",,,,no,,eligible,1st line,Ipilimumab + Nivolumab,no,,,,,Clinical Trial,,yes
25,A Systematic Review and Meta-Analysis of Randomized Controlled Trials to Assess the Risk of Immune-Related Adverse Effects (irAEs) in Patients with Locally Advanced Nasopharyngeal Carcinoma Treated with Immune Checkpoint Inhibitors,10.1158/2326-6074.IO2025-B043,2025,Cancer Immunology Research,Nasopharyngeal Carcinoma,Locally Advanced,"['ICI arm', 'control arm']",yes,yes,yes,yes,no,no,Meta-analysis of RCTs,572,"sintilimab, toripalimab",,57.47,10.39,no,,yes,,Chemoradiation therapy,no,East and Southeast Asia,"{'hypothyroidism_grade1_2': 27.6, 'rash_any_grade': 25, 'rash_high_grade': 5.52, 'pruritus_any_grade': 25, 'allergic_reaction_any_grade': 3.25}",Early detection and appropriate supportive care is essential.,,Systematic Review and Meta-Analysis,,yes
34,"Increasing Incidence Of Myocarditis Associated With Nivolumab/relatlimab (opdualag), A Retrospective Analysis Of FDA Adverse Event Reporting System Database",10.1016/j.cardfail.2024.10.122,2025,Journal of Cardiac Failure,Melanoma,Unresectable or metastatic,,yes,yes,no,yes,no,no,Retrospective analysis,310,Nivolumab/Relatlimab,,,,no,,eligible,,Nivolumab + Relatlimab,,,"{'myocarditis': 0.0452, 'immune-mediated myocarditis': 0.0258}",,,Post-marketing surveillance,,
53,CISPLATIN VS CARBOPLATIN-BASED CHEMOTHERAPY COMBINED WITH IMMUNE CHECKPOINT INHIBITOR (ICI)- META-ANALYSIS OF EFFICACY AND TOXICITIES IN RANDOMIZED CLINICAL TRIALS,10.1136/jitc-2024-SITC2024.0486,2024,Journal for ImmunoTherapy of Cancer,"Urothelial, Lung, Esophageal, and other cancers",,"['CIS-based chemotherapy + ICI', 'CAR-based chemotherapy + ICI']",yes,yes,yes,no,yes,yes,Meta-analysis of phase 3 trials,29276,"PD1 inhibitor, PD-L1 inhibitor, CTLA4 inhibitor, PD1 plus CTLA4 inhibitor",,,0.07,no,,eligible,,Chemotherapy (Cisplatin or Carboplatin) + ICI,,"Global, Asian",,,,Meta-analysis,,
108,Prognostic and predictive value of non-steroidal anti-inflammatory drugs in the EORTC 1325/KEYNOTE-054 phase III trial of pembrolizumab versus placebo in resected high-risk stage III melanoma,10.1016/j.ejca.2024.113585,2024,European Journal of Cancer,Melanoma,III,"['Pembrolizumab', 'Placebo']",yes,yes,no,no,no,yes,Randomized Controlled Trial,1019,Pembrolizumab,,,,no,,yes,Adjuvant,,no,,,,,Clinical Trial,,
126,A Systematic Review of Treatment-Related Adverse Events for Combination Therapy of Multiple Tyrosine Kinase Inhibitor and Immune Checkpoint Inhibitor,10.1177/10732748241244586,2024,Cancer Control,,,"['multi-TKI monotherapy', 'multi-TKI plus ICI combination therapy']",yes,yes,no,yes,no,no,Systematic Review and Meta-Analysis,7951,ICI,,,,no,,eligible,,multi-TKI plus ICI,,,"{'diarrhea': 1.24, 'hypothyroidism': 1.44, 'rash': 1.71}",This would help optimize the management of toxicities caused by multi-TKI plus ICI combination therapy.,,,,
144,Impact of Bevacizumab Being Skipped due to Adverse Events of Special Interest for Bevacizumab in Patients with Unresectable Hepatocellular Carcinoma Treated with Atezolizumab plus Bevacizumab: An Exploratory Analysis of the Phase III IMbrave150 Study,10.1159/000535501,2023,Liver Cancer,Hepatocellular Carcinoma,Unresectable,"['Bevacizumab skipped due to AESIs (Group A-1)', 'Bevacizumab not skipped (Group A-2)']",yes,yes,yes,no,yes,yes,Exploratory analysis of a phase III study,210,Atezolizumab,,,,no,,eligible,,Atezolizumab + Bevacizumab,no,,,Skipping bevacizumab due to AESIs,,Clinical Trial,,no
155,MA20.08 Prediction of Immune-Related Adverse Events Based on Th17 Cell Differentiation Pathway,10.1016/j.jtho.2023.09.265,2023,Journal of Thoracic Oncology,NSCLC,advanced,"['sintilimab plus chemotherapy', 'placebo plus chemotherapy']",yes,yes,yes,no,yes,no,randomized controlled phase 3 study,266,sintilimab (anti-PD-1 antibody),,46.2,6.4,yes,,eligible,,chemotherapy,no,,,earlier detection and intervention,"Th17 cell differentiation pathway, IL2RG, IL6R, JAK2, LAT, RORA expression",Post hoc analysis,,
179,Safety of adjuvant atezolizumab after pneumonectomy/bilobectomy in stage II-IIIA non–small cell lung cancer in the randomized phase III IMpower010 trial,10.1016/j.jtcvs.2023.01.012,2023,Journal of Thoracic and Cardiovascular Surgery,non-small cell lung cancer,II-IIIA,"['atezolizumab', 'best supportive care']",yes,yes,yes,no,no,no,randomized phase III,871,atezolizumab,,,,PD-L1,,eligible,adjuvant,platinum-based chemotherapy,no,,,,PD-L1 tumor cell >= 1%,,,
193,Risk Factors for Immune Checkpoint Inhibitor Immunotherapy Toxicity Among Older Adults with Cancer,10.1093/oncolo/oyad097,2023,Oncologist,advanced cancer,advanced,,yes,yes,yes,no,no,no,retrospective,238,Immune checkpoint inhibitor,,0.39,0.13,no,,eligible,,,,,,,,,,
202,Evaluation of immune related adverse events following extended interval dosing of immune checkpoint inhibitors.,10.1200/jco.2023.41.16_suppl.e14605,2023,Journal of Clinical Oncology,,,"['Standard interval (SI) dosing', 'Extended interval (EI) dosing']",yes,yes,yes,no,yes,no,Retrospective study,458,"pembrolizumab, nivolumab",,32,,no,,eligible,,,,United States of America,,,,,,
209,"Association of Immune-Related Adverse Events with Efficacy of Atezolizumab in Patients with Non-Small Cell Lung Cancer: Pooled Analyses of the Phase 3 IMpower130, IMpower132, and IMpower150 Randomized Clinical Trials",10.1001/jamaoncol.2022.7711,2023,JAMA Oncology,Non-Small Cell Lung Cancer,IV,"['atezolizumab with carboplatin plus nab-paclitaxel', 'chemotherapy alone', 'atezolizumab with carboplatin or cisplatin plus pemetrexed', 'atezolizumab plus bevacizumab plus carboplatin and paclitaxel', 'atezolizumab plus carboplatin and paclitaxel', 'bevacizumab plus carboplatin and paclitaxel']",yes,yes,yes,no,yes,no,"Phase 3, multicenter, open-label, randomized clinical trials (pooled post hoc analysis)",2503,Atezolizumab,,,,no,,eligible,first-line,chemoimmunotherapy,no,,,,,RCT,,
218,Risk Factors of Venous Thromboembolic Disease in Cancer Patients Treated with Immune Checkpoint Inhibitor,10.1055/s-0043-1769609,2023,Thrombosis and Haemostasis,"Melanoma, Non-small cell lung cancer",,"['Nivolumab and Ipilimumab', 'Pembrolizumab', 'Nivolumab']",yes,yes,no,no,no,no,Retrospective,374,"Nivolumab, Ipilimumab, Pembrolizumab",15.2,,,no,,eligible,,Nivolumab and Ipilimumab,,,{'VTE': 13.4},,,Observational,,
248,Novel Approaches for Dynamic Visualization of Adverse Event Data in Oncology Clinical Trials: A Case Study Using Immunotherapy Trial S1400-I (SWOG),10.1200/CCI.22.00165,2023,JCO Clinical Cancer Informatics,squamous non-small-cell lung cancer,IV,"['nivolumab', 'nivolumab plus ipilimumab']",yes,yes,yes,yes,no,no,randomized phase III trial,,"nivolumab, ipilimumab",,,,no,,eligible,,nivolumab + ipilimumab,,,"{'musculoskeletal_grade3plus': 0.056, 'skin_grade3plus': 0.056, 'vascular_grade3plus': 0.056, 'cardiac_grade3plus': 0.04}",,,clinical trial,,
251,Nivolumab (NIVO) + relatlimab (RELA) versus (vs) NIVO in patients (pts) with previously untreated metastatic or unresectable melanoma: safety outcomes in RELATIVITY-047,10.1111/pcmr.13073,2023,Pigment Cell and Melanoma Research,Melanoma,Metastatic or unresectable,"['NIVO + RELA', 'NIVO']",yes,yes,yes,yes,yes,yes,Phase 2/3 randomized controlled trial,714,"Nivolumab, Relatlimab",19.3,,,no,,yes,First-line,Nivolumab + Relatlimab,no,,,Median time to onset and resolution for non-endocrine and endocrine IMAEs were reported.,,Clinical Trial,,
